Season,Team,Player,Position,Appearances,Minutes_Played,Goals,Assists
2012/13,Arsenal,Alex Clark,Defender,16,1088,20,12
2012/13,Arsenal,Luke Lewis,Forward,21,1386,21,10
2012/13,Arsenal,Liam Hall,Forward,21,1596,7,14
2012/13,Arsenal,Liam Hall,Forward,32,2112,23,15
2012/13,Arsenal,David Taylor,Forward,34,2584,5,6
2012/13,Arsenal,John Garcia,Forward,18,1242,19,6
2012/13,Arsenal,Aaron Young,Defender,17,1496,7,11
2012/13,Arsenal,Ben Young,Defender,8,616,7,13
2012/13,Arsenal,Harry Anderson,Forward,35,2205,17,14
2012/13,Arsenal,Jack Brown,Forward,33,2739,21,0
2012/13,Arsenal,Leo Anderson,Midfielder,28,2660,9,10
2012/13,Arsenal,James Garcia,Midfielder,33,3135,0,2
2012/13,Arsenal,Aaron Jackson,Midfielder,12,1140,0,0
2012/13,Arsenal,Chris Taylor,Forward,7,623,16,15
2012/13,Arsenal,Ben Clark,Defender,20,1440,24,13
2012/13,Arsenal,David Clark,Defender,32,2176,19,15
2012/13,Arsenal,Ryan Taylor,Forward,25,2200,14,2
2012/13,Arsenal,Luke White,Forward,22,1650,11,4
2012/13,Aston Villa,Jack White,Forward,31,2294,22,3
2012/13,Aston Villa,Tom Jackson,Forward,8,688,10,9
2012/13,Aston Villa,Oscar Clark,Forward,9,846,9,7
2012/13,Aston Villa,Luke Garcia,Defender,31,2883,15,13
2012/13,Aston Villa,Tom Thompson,Midfielder,33,2904,2,10
2012/13,Aston Villa,Harry Harris,Defender,30,2100,13,15
2012/13,Aston Villa,Harry Harris,Midfielder,7,651,3,0
2012/13,Aston Villa,Daniel King,Forward,36,3420,8,2
2012/13,Aston Villa,Ben Hall,Forward,8,672,12,0
2012/13,Aston Villa,Liam Thompson,Forward,7,553,14,9
2012/13,Aston Villa,Alex Taylor,Defender,6,426,23,4
2012/13,Aston Villa,Daniel Taylor,Midfielder,13,1118,5,1
2012/13,Aston Villa,Michael Brown,Midfielder,20,1760,19,9
2012/13,Aston Villa,Chris Walker,Forward,30,2760,1,8
2012/13,Aston Villa,Chris Garcia,Midfielder,14,1232,6,6
2012/13,Aston Villa,Daniel Walker,Forward,16,1472,13,6
2012/13,Aston Villa,Ben Johnson,Defender,20,1560,13,8
2012/13,Aston Villa,Liam Smith,Midfielder,21,1974,0,15
2012/13,Bournemouth,Michael Garcia,Midfielder,25,1500,19,12
2012/13,Bournemouth,Harry Martin,Midfielder,37,2701,7,6
2012/13,Bournemouth,Tom Thompson,Midfielder,12,876,6,2
2012/13,Bournemouth,Michael Anderson,Forward,9,819,11,13
2012/13,Bournemouth,Mason Brown,Defender,15,1125,5,10
2012/13,Bournemouth,James Clark,Midfielder,15,945,9,0
2012/13,Bournemouth,John Martin,Midfielder,8,728,16,11
2012/13,Bournemouth,David White,Midfielder,22,1826,3,1
2012/13,Bournemouth,Alex Brown,Midfielder,11,968,14,3
2012/13,Bournemouth,James Lewis,Midfielder,36,3348,10,11
2012/13,Bournemouth,Ryan Johnson,Midfielder,24,1896,25,12
2012/13,Bournemouth,Chris Hall,Forward,16,1344,11,3
2012/13,Bournemouth,Ben Clark,Forward,30,2550,9,15
2012/13,Bournemouth,Tom Brown,Midfielder,11,946,20,0
2012/13,Bournemouth,Leo Thomas,Forward,31,2325,16,4
2012/13,Bournemouth,Mason Brown,Midfielder,12,840,17,9
2012/13,Bournemouth,Harry Garcia,Defender,30,2310,18,6
2012/13,Bournemouth,Liam Hall,Midfielder,10,670,12,2
2012/13,Brentford,John Scott,Midfielder,15,1035,14,4
2012/13,Brentford,Ryan Scott,Midfielder,8,560,13,2
2012/13,Brentford,Oscar Smith,Forward,16,1200,20,12
2012/13,Brentford,Tom Clark,Midfielder,24,1992,20,13
2012/13,Brentford,David Walker,Forward,21,1428,14,11
2012/13,Brentford,Ryan Garcia,Midfielder,25,1925,18,3
2012/13,Brentford,Alex Martin,Midfielder,9,810,9,5
2012/13,Brentford,Ben Clark,Defender,14,1106,14,8
2012/13,Brentford,Alex Young,Forward,27,2538,18,8
2012/13,Brentford,Noah Taylor,Defender,23,1886,19,10
2012/13,Brentford,Mason Johnson,Defender,35,2625,13,14
2012/13,Brentford,Liam Allen,Forward,28,2296,21,10
2012/13,Brentford,Ethan Harris,Defender,17,1360,16,3
2012/13,Brentford,David Johnson,Forward,17,1088,19,11
2012/13,Brentford,Michael Harris,Forward,27,1944,19,9
2012/13,Brentford,Ethan Martin,Defender,27,2268,9,1
2012/13,Brentford,Mason Anderson,Forward,29,1769,20,12
2012/13,Brentford,David Hall,Defender,7,462,16,15
2012/13,Brighton,Jack Jackson,Forward,37,3256,15,5
2012/13,Brighton,Ethan Lewis,Forward,21,1470,10,7
2012/13,Brighton,Michael Young,Defender,38,3572,10,1
2012/13,Brighton,Michael Garcia,Midfielder,6,372,11,12
2012/13,Brighton,Ethan Clark,Defender,26,1560,19,14
2012/13,Brighton,Jack Walker,Defender,12,1044,4,13
2012/13,Brighton,Ben Allen,Defender,7,448,23,14
2012/13,Brighton,James Garcia,Defender,6,558,7,2
2012/13,Brighton,Ryan Johnson,Defender,12,1116,18,9
2012/13,Brighton,Luke Harris,Midfielder,20,1800,23,12
2012/13,Brighton,Harry Thomas,Defender,28,2044,15,8
2012/13,Brighton,Noah Harris,Defender,30,1920,4,3
2012/13,Brighton,Noah Garcia,Midfielder,37,3256,6,5
2012/13,Brighton,Chris Clark,Defender,16,1088,25,13
2012/13,Brighton,Jack Allen,Defender,18,1098,12,6
2012/13,Brighton,Ben Walker,Midfielder,30,2730,1,7
2012/13,Brighton,Leo Clark,Forward,11,913,21,12
2012/13,Brighton,Leo Young,Forward,15,960,12,1
2012/13,Burnley,Michael Garcia,Forward,35,2730,0,10
2012/13,Burnley,James Harris,Forward,10,860,13,2
2012/13,Burnley,David King,Defender,7,448,4,15
2012/13,Burnley,Chris Taylor,Midfielder,13,1001,10,4
2012/13,Burnley,Luke Smith,Defender,26,1768,16,13
2012/13,Burnley,Tom Jackson,Forward,9,666,17,2
2012/13,Burnley,David Thomas,Midfielder,5,360,1,7
2012/13,Burnley,Michael Scott,Midfielder,13,845,3,12
2012/13,Burnley,Daniel Clark,Forward,9,621,22,10
2012/13,Burnley,Noah Harris,Forward,37,2886,16,0
2012/13,Burnley,James Allen,Midfielder,34,2754,17,10
2012/13,Burnley,James Martin,Defender,5,395,10,6
2012/13,Burnley,Tom Lewis,Defender,33,2442,9,5
2012/13,Burnley,David Walker,Defender,6,462,24,7
2012/13,Burnley,Alex Clark,Defender,12,864,23,11
2012/13,Burnley,James Smith,Midfielder,31,2108,5,8
2012/13,Burnley,Mason Thompson,Midfielder,11,803,25,10
2012/13,Burnley,Alex Allen,Defender,6,378,7,15
2012/13,Chelsea,Leo Smith,Midfielder,20,1780,6,7
2012/13,Chelsea,Alex White,Forward,25,1600,7,2
2012/13,Chelsea,David Taylor,Forward,6,438,9,15
2012/13,Chelsea,Jack White,Midfielder,29,2436,19,13
2012/13,Chelsea,Leo Allen,Forward,7,574,9,4
2012/13,Chelsea,David Clark,Forward,13,1131,22,3
2012/13,Chelsea,Aaron Clark,Forward,23,1863,3,5
2012/13,Chelsea,Luke Thompson,Forward,25,1975,25,1
2012/13,Chelsea,Ben Young,Forward,10,740,8,11
2012/13,Chelsea,Oscar King,Forward,26,2262,1,0
2012/13,Chelsea,Chris Jackson,Forward,16,1168,17,3
2012/13,Chelsea,Ben Walker,Defender,14,1316,3,2
2012/13,Chelsea,Oscar Smith,Midfielder,26,2418,23,11
2012/13,Chelsea,Michael Allen,Defender,19,1444,4,0
2012/13,Chelsea,Alex Brown,Defender,35,3045,21,4
2012/13,Chelsea,Leo King,Forward,23,1679,25,8
2012/13,Chelsea,Ethan Garcia,Defender,12,816,15,15
2012/13,Chelsea,Aaron Allen,Forward,26,1898,14,10
2012/13,Crystal Palace,Noah Lewis,Forward,18,1098,20,7
2012/13,Crystal Palace,Ryan Clark,Forward,10,670,1,11
2012/13,Crystal Palace,Michael Lewis,Forward,13,1105,11,1
2012/13,Crystal Palace,Luke White,Defender,36,2844,0,9
2012/13,Crystal Palace,Alex Thomas,Defender,19,1520,24,5
2012/13,Crystal Palace,Ryan Hall,Midfielder,7,553,4,11
2012/13,Crystal Palace,John Thomas,Midfielder,37,2294,4,2
2012/13,Crystal Palace,Daniel Allen,Defender,37,2738,22,12
2012/13,Crystal Palace,Oscar Thomas,Defender,18,1116,1,0
2012/13,Crystal Palace,Luke Harris,Defender,17,1309,1,2
2012/13,Crystal Palace,Ryan Lewis,Defender,5,335,11,5
2012/13,Crystal Palace,Luke Thompson,Forward,38,3382,3,2
2012/13,Crystal Palace,Luke King,Forward,35,2100,20,11
2012/13,Crystal Palace,Leo Martin,Midfielder,29,2291,10,5
2012/13,Crystal Palace,Tom Clark,Forward,13,858,19,14
2012/13,Crystal Palace,James Allen,Forward,38,3306,4,14
2012/13,Crystal Palace,Chris Thomas,Midfielder,14,1078,0,6
2012/13,Crystal Palace,Michael Taylor,Defender,35,2765,5,2
2012/13,Everton,Noah Walker,Midfielder,6,396,9,3
2012/13,Everton,John Allen,Forward,34,2754,2,8
2012/13,Everton,Michael Brown,Midfielder,37,2627,25,9
2012/13,Everton,Liam Hall,Defender,19,1767,13,8
2012/13,Everton,Michael Scott,Defender,29,2059,25,4
2012/13,Everton,John King,Forward,27,1890,13,7
2012/13,Everton,Tom Garcia,Midfielder,18,1710,3,6
2012/13,Everton,Ethan Jackson,Midfielder,11,836,21,1
2012/13,Everton,Noah Lewis,Forward,21,1764,17,11
2012/13,Everton,Liam White,Midfielder,27,1944,25,14
2012/13,Everton,Tom Thompson,Forward,11,880,19,12
2012/13,Everton,Michael Jackson,Midfielder,14,1134,10,14
2012/13,Everton,Luke Taylor,Midfielder,33,2211,25,10
2012/13,Everton,Tom Young,Forward,37,2590,11,11
2012/13,Everton,John Harris,Forward,7,595,2,7
2012/13,Everton,Michael Johnson,Forward,36,2448,21,3
2012/13,Everton,Michael Jackson,Defender,38,2926,2,4
2012/13,Everton,David Smith,Midfielder,12,864,20,0
2012/13,Fulham,Harry White,Defender,11,792,9,5
2012/13,Fulham,Chris Scott,Midfielder,22,1936,16,14
2012/13,Fulham,David Walker,Forward,24,1560,22,11
2012/13,Fulham,David Clark,Defender,9,657,16,13
2012/13,Fulham,Jack Anderson,Defender,13,1222,20,5
